Expense_ID,Category,Amount,Date,Description
249,Under,369.62,2023-06-06,Hit because attorney Democrat.
250,Idea,1617.43,2023-03-08,News theory public its avoid out itself.
251,Address,2208.82,2022-06-28,Personal western deal source.
252,Fund,1222.36,2022-06-21,Cost culture language first commercial morning.
253,Officer,2263.59,2022-02-04,Require a describe picture.
254,Protect,2339.56,2023-06-19,Thousand interview whom see lay catch.
255,Customer,1748.04,2022-01-05,Western look machine matter everyone gas.
256,Simple,2699.54,2023-11-10,Raise determine song walk for.
257,Mr,1489.83,2023-12-22,Arm reality eight benefit.
258,Control,2978.79,2023-12-01,Green authority smile away tough people weight.
259,Respond,2636.91,2022-03-23,Else research education south despite.
260,Interesting,2855.8,2023-03-29,Inside leave decide bad wind but.
261,Minute,167.88,2022-07-12,Better cause size follow.
262,Deal,4266.72,2023-11-14,More popular heart forward job admit.
263,Usually,2658.73,2022-01-11,Like social agent sign industry federal ready.
264,Against,770.61,2022-11-10,Dark hour young share force recent just.
265,Guess,407.23,2023-02-12,Our discuss know within he ability personal third.
266,Officer,633.35,2022-12-13,Between red trouble perhaps clear his letter clear.
267,Never,4310.99,2022-04-05,Light art agree certain who.
268,Yeah,809.65,2023-07-07,Call act effect travel source security industry.
269,Those,228.83,2023-02-04,Clearly then as meeting example.
270,Cup,2537.69,2023-07-17,Town by there participant.
271,Soldier,549.13,2022-10-11,Step light phone voice unit.
272,House,2627.49,2021-12-25,Chance out medical concern room item.
273,Special,3801.89,2023-06-07,Measure large employee billion range base management rate.
274,Under,3593.91,2022-08-08,Because easy say range expect catch.
275,Material,4545.6,2022-10-27,Box else across claim picture event wait country.
276,Happen,493.4,2022-04-01,Surface behind short visit I rich central.
277,Much,3309.08,2022-01-26,Interest on industry act.
278,Building,1192.4,2022-06-20,Make boy kid you natural talk company.
279,War,2145.31,2022-09-16,Occur money reflect.
280,Table,2358.27,2023-02-17,Paper water role without black.
281,Fly,3285.93,2021-12-26,Me win while.
282,Half,4173.62,2023-05-22,Theory model lot.
283,Mouth,3216.65,2023-12-12,Hotel agreement I behind race action official.
284,Former,4389.25,2022-01-07,Either effect walk break also news.
285,State,1764.38,2023-04-25,Such everything future hospital avoid prove.
286,Staff,2164.38,2022-07-08,More until on voice else less.
287,Forward,2148.55,2023-09-22,About great husband mission last whom including.
288,Information,1242.7,2022-09-22,South few grow shoulder accept your.
289,Court,4822.61,2022-10-11,Wide memory happy bill.
290,Write,2965.5,2023-02-17,Soldier group her trial body.
291,Executive,3167.13,2022-09-06,Fall interest moment read the.
292,Citizen,3656.33,2023-01-09,Should itself want today suffer suddenly last.
293,Light,203.88,2022-10-19,Though organization money miss.
294,Like,1824.67,2022-07-07,Everything sell world source fact notice over.
295,Nearly,3642.14,2022-02-28,Toward project maintain look admit four.
296,Sister,2209.35,2023-09-15,Seven firm about pattern whole exist.
297,Parent,4009.62,2022-08-16,Important night red agent head nature.
298,Put,2989.58,2022-01-27,Organization account cut difficult state positive.
299,Goal,143.79,2022-11-13,Team after sing structure.
300,Agreement,794.71,2021-12-25,In ten thank bill manage.
301,Few,256.86,2023-08-22,Thing always particularly home relate executive.
302,Affect,4664.69,2023-11-03,Much professor sell coach not include.
303,Artist,313.64,2023-05-29,Technology base task current serve.
304,Public,4930.42,2022-02-04,Actually glass Democrat executive clear stuff follow that.
305,Mind,4874.84,2022-10-26,Build box experience relate theory anyone.
306,Set,4065.4,2023-03-26,Would world reason relationship environmental trade.
307,Best,1851.27,2022-01-17,Toward effect whose special admit.
308,Key,784.56,2021-12-26,Affect we possible often figure.
309,Feel,192.95,2022-05-09,Knowledge soldier first.
310,Real,3826.33,2023-08-04,Truth ten two step truth between.
