Expense_ID,Category,Amount,Date,Description
1626,Parts and Inventory,366713.27,2023-06-06,Whatever natural hit test.
1627,Marketing and Advertising,279594.38,2023-07-19,Single employee Mrs threat threat lose.
1628,Vehicle Procurement,370505.65,2023-06-22,I fish here hot raise.
1629,Parts and Inventory,377236.09,2023-11-14,Describe education poor join contain.
1630,Logistics and Transportation,88132.86,2023-06-14,Water military us traditional help interesting.
1631,Manufacturing and Production,284099.27,2023-03-24,Place growth could black person church game.
1632,Manufacturing and Production,255353.38,2023-05-12,Success fear imagine.
1633,Marketing and Advertising,447180.1,2023-01-02,What management animal join check reveal myself.
1634,Technology and IT Infrastructure,383393.45,2023-05-01,Its approach feeling foot meet challenge party.
1635,Legal and Compliance,306413.76,2023-05-19,Drop purpose maintain than federal attack role girl.
1636,Vehicle Procurement,109493.27,2023-04-22,Identify huge appear movie table decade difference.
1637,Marketing and Advertising,258287.98,2023-10-31,Institution challenge card thank factor after.
1638,Parts and Inventory,262753.82,2023-03-31,Likely agree sometimes feeling.
1639,Marketing and Advertising,72576.43,2023-02-17,Material plan rate off tax those job.
1640,Legal and Compliance,387459.45,2023-08-06,Public exactly black.
1641,Employee Salaries and Benefits,123808.76,2023-09-16,Floor dinner music live entire.
1642,Marketing and Advertising,415200.69,2023-04-30,Pressure least design test least hard else.
1643,Vehicle Procurement,94663.42,2023-05-21,Better century population increase.
1644,Facility Maintenance and Utilities,486583.99,2023-06-30,Although exist add suggest city service.
1645,Legal and Compliance,449752.52,2023-04-24,Day figure already.
1646,Manufacturing and Production,39538.31,2023-10-18,Why very space seek run.
1647,Facility Maintenance and Utilities,427791.74,2023-03-09,Daughter save institution draw.
1648,Facility Maintenance and Utilities,271521.86,2023-04-07,Meet send southern success property player special.
1649,Legal and Compliance,325426.18,2023-03-09,Morning class make off might human maybe.
1650,Manufacturing and Production,215381.01,2023-11-18,Message country consider another song.
1651,Employee Salaries and Benefits,480537.11,2023-11-20,Billion individual culture price everybody phone.
1652,Technology and IT Infrastructure,86391.27,2023-02-28,Agree service happy modern.
