Expense_ID,Category,Amount,Date,Description
751,Manufacturing and Production,414174.68,2023-09-25,General two such.
752,Facility Maintenance and Utilities,455174.33,2023-06-23,Rich national production what ahead young.
753,Manufacturing and Production,375858.98,2023-12-18,Enjoy add also set stop.
754,Research and Development,102119.62,2023-03-01,Someone behind nearly.
755,Vehicle Procurement,25842.01,2023-05-26,Mission son capital which.
756,Logistics and Transportation,497148.0,2023-09-10,Somebody able huge do fire hard stay.
757,Technology and IT Infrastructure,81053.18,2023-01-22,Interest commercial short young among easy him.
758,Legal and Compliance,54980.85,2023-10-14,Seem generation black nation medical gun score establish.
759,Technology and IT Infrastructure,201824.23,2023-08-26,Music my break sit.
760,Manufacturing and Production,390135.49,2023-03-09,Spring top art time.
761,Manufacturing and Production,317866.91,2023-04-02,For cause lay relate.
762,Facility Maintenance and Utilities,430627.38,2023-06-07,Everyone friend down guess pay my support.
763,Technology and IT Infrastructure,170827.52,2023-08-02,When day still.
764,Parts and Inventory,474850.81,2023-07-21,Range recent really father.
765,Logistics and Transportation,386559.35,2023-12-25,Consumer writer yourself scientist space tree there car.
766,Research and Development,84458.75,2023-12-03,One thousand beautiful thought.
767,Technology and IT Infrastructure,207792.85,2023-05-27,Office away old short amount during.
768,Employee Salaries and Benefits,34577.99,2023-07-07,Since Democrat thought out politics.
769,Manufacturing and Production,453592.35,2023-12-19,Particularly peace now network strategy I firm majority.
770,Employee Salaries and Benefits,494879.87,2023-01-08,Instead or major know thousand economy.
771,Parts and Inventory,492094.14,2023-09-04,Population response institution.
772,Facility Maintenance and Utilities,258883.73,2023-05-09,Themselves voice pull rather knowledge building.
773,Manufacturing and Production,318474.87,2023-11-24,Few painting best activity three Democrat sign.
774,Parts and Inventory,293282.08,2023-07-14,Small western clearly coach dinner contain.
775,Manufacturing and Production,412642.2,2023-08-21,Stay party high gas parent far myself paper.
776,Technology and IT Infrastructure,352300.95,2023-09-07,Day respond region economic piece population.
777,Technology and IT Infrastructure,321803.28,2023-08-28,Line economy scene growth.
778,Parts and Inventory,311514.68,2023-02-11,Address less number choose song short.
779,Facility Maintenance and Utilities,293809.26,2023-02-20,Mouth memory edge control.
780,Marketing and Advertising,448400.08,2023-11-25,Professor hour surface military memory.
781,Vehicle Procurement,396085.38,2023-08-16,Production traditional standard third success main.
782,Vehicle Procurement,350183.11,2023-09-29,Road three research better them factor type mean.
783,Legal and Compliance,84019.15,2023-04-01,Crime hope treatment front group less sign wrong.
784,Technology and IT Infrastructure,136174.55,2023-11-12,Store property choice this join choice tend agent.
785,Manufacturing and Production,97874.72,2023-04-14,Little child somebody keep music give.
786,Vehicle Procurement,392351.11,2023-06-13,Resource trip spring last on under mother must.
787,Manufacturing and Production,145033.47,2023-07-06,Home bill summer seek southern partner.
788,Vehicle Procurement,139074.37,2023-02-12,Cell thing analysis source until.
789,Technology and IT Infrastructure,142197.18,2023-08-04,Seat they wonder us.
790,Manufacturing and Production,239499.19,2023-12-05,Five why team main citizen stop per.
791,Legal and Compliance,56718.0,2023-02-27,Might national somebody recently part could.
792,Legal and Compliance,341077.7,2023-09-22,International design material blue take feeling.
793,Employee Salaries and Benefits,98896.82,2023-07-04,Should smile be call say budget.
794,Technology and IT Infrastructure,328000.13,2023-10-21,Morning region suddenly spend.
795,Employee Salaries and Benefits,6089.44,2023-11-19,Off wait tree ability.
796,Facility Maintenance and Utilities,413976.09,2023-02-27,Per ready election off policy party.
797,Facility Maintenance and Utilities,78970.24,2023-04-21,Control partner interesting manage.
798,Parts and Inventory,435548.92,2023-11-22,Cell increase just pay girl notice.
799,Manufacturing and Production,41455.28,2023-01-27,Fine subject very leave.
800,Facility Maintenance and Utilities,447463.95,2023-02-26,Director value anyone commercial stand force investment.
801,Logistics and Transportation,111855.42,2023-10-06,Phone year area rather event usually.
802,Research and Development,333110.53,2023-10-07,Certain quite front moment his.
803,Facility Maintenance and Utilities,68572.8,2023-12-10,Statement identify girl.
804,Employee Salaries and Benefits,482366.96,2023-03-03,Month strong individual main.
805,Vehicle Procurement,24981.68,2023-06-15,Outside color month can fire paper.
806,Parts and Inventory,356119.26,2023-04-03,Local knowledge per ever open manage your.
807,Legal and Compliance,41667.58,2023-02-08,Current son road later area we.
808,Parts and Inventory,126835.61,2023-09-19,I parent authority off simply small although.
809,Legal and Compliance,363703.96,2023-02-17,Owner push it garden cause song avoid.
810,Logistics and Transportation,332058.38,2023-12-14,Seat old check rather some career next.
811,Employee Salaries and Benefits,485776.17,2023-01-19,Threat heavy nearly respond shoulder wall.
812,Parts and Inventory,37662.84,2023-07-25,My leg note garden.
813,Technology and IT Infrastructure,378870.79,2023-11-21,However why me sense member total past.
814,Legal and Compliance,94545.16,2023-02-11,Budget culture beautiful our develop.
815,Vehicle Procurement,466248.26,2023-01-07,Record low play finish run water add.
816,Facility Maintenance and Utilities,490216.62,2023-10-19,Poor successful responsibility pressure.
817,Technology and IT Infrastructure,207025.81,2023-02-04,Next plan sister.
818,Employee Salaries and Benefits,324571.39,2023-03-22,Over rule push certainly crime hard.
819,Parts and Inventory,165737.48,2023-10-11,Life soon fund school though dark take.
820,Employee Salaries and Benefits,422746.53,2023-07-01,Before these my talk wait senior.
