Transaction_ID,Customer_ID,Product_Category,Quantity,Price,Date,Product_Name
1,4608,Financing and Insurance,2,1133855.3,2023-01-05T00:00:00.000+01:00,Vehicle Insurance Plans
2,65827,Hybrid Vehicle,10,820003.26,2023-02-16T00:00:00.000+01:00,Full-Size Hybrid Pickup Truck
3,23998,Commercial Vehicle,5,2741818.47,2022-04-23T00:00:00.000+02:00,Cargo Van
4,13761,Financing and Insurance,10,2898104.28,2023-12-22T00:00:00.000+01:00,Vehicle Insurance Plans
5,26627,Service and Maintenance,9,2324873.3,2022-06-19T00:00:00.000+02:00,Engine Diagnostic and Repair
6,98146,Parts and Accessories,4,2894997.44,2023-12-21T00:00:00.000+01:00,Vehicle Navigation Systems
7,49288,Standard Vehicle,1,398981.05,2023-11-15T00:00:00.000+01:00,Station Wagon
8,89667,Standard Vehicle,6,2367423.11,2022-05-14T00:00:00.000+02:00,Small Hatchback
9,71109,Special Offers,2,2706570.47,2022-09-25T00:00:00.000+02:00,Seasonal Service Package Discount
10,7257,Special Offers,7,1533286.35,2022-09-03T00:00:00.000+02:00,Exclusive Accessory Bundle Deal
11,52365,Special Offers,6,2035491.4,2022-08-31T00:00:00.000+02:00,Limited-Time Discount on New Models
12,5609,Standard Vehicle,10,1043450.21,2023-05-07T00:00:00.000+02:00,Station Wagon
13,11172,Parts and Accessories,5,1924433.1,2023-02-27T00:00:00.000+01:00,Car Audio and Entertainment Systems
14,63812,Standard Vehicle,7,151316.84,2023-02-19T00:00:00.000+01:00,Midsize SUV
15,73685,Standard Vehicle,7,1530322.11,2023-03-13T00:00:00.000+01:00,Full-Size Sedan
16,70166,Service and Maintenance,8,2977688.68,2022-04-26T00:00:00.000+02:00,Brake Inspection and Replacement
17,41221,Financing and Insurance,5,1396630.73,2022-11-24T00:00:00.000+01:00,Extended Warranty Coverage
18,2347,Commercial Vehicle,2,2625982.42,2023-06-08T00:00:00.000+02:00,Box Truck
19,23643,Hybrid Vehicle,9,1329259.78,2023-06-17T00:00:00.000+02:00,Full-Size Hybrid Pickup Truck
20,74614,Standard Vehicle,1,1791896.05,2023-01-23T00:00:00.000+01:00,Midsize SUV
21,75265,Performance Vehicle,8,2181299.13,2022-07-25T00:00:00.000+02:00,High-Speed Performance SUV
22,99128,Parts and Accessories,6,1863542.39,2022-04-22T00:00:00.000+02:00,Vehicle Navigation Systems
23,60153,Service and Maintenance,7,1317853.09,2023-08-01T00:00:00.000+02:00,Brake Inspection and Replacement
24,52058,Parts and Accessories,2,1699753.62,2023-06-01T00:00:00.000+02:00,Vehicle Navigation Systems
25,95259,Parts and Accessories,4,1986752.95,2023-06-24T00:00:00.000+02:00,Roof Racks and Carriers
26,67150,Parts and Accessories,1,741693.42,2022-03-15T00:00:00.000+01:00,Car Audio and Entertainment Systems
27,26635,Commercial Vehicle,2,2137315.28,2022-09-21T00:00:00.000+02:00,Chassis Cab
28,2255,Service and Maintenance,7,603578.59,2023-01-26T00:00:00.000+01:00,Battery Check and Replacement
29,71392,Hybrid Vehicle,6,360423.72,2023-07-14T00:00:00.000+02:00,Compact Hybrid Sedan
30,93761,Financing and Insurance,10,185462.42,2022-12-15T00:00:00.000+01:00,Used Vehicle Financing
31,15292,Special Offers,7,1892632.92,2023-12-04T00:00:00.000+01:00,Exclusive Accessory Bundle Deal
32,62794,Electric Vehicle,6,2358641.38,2023-09-23T00:00:00.000+02:00,All-Electric Compact Car
33,38178,Service and Maintenance,10,2922200.1,2023-12-07T00:00:00.000+01:00,Brake Inspection and Replacement
34,78317,Performance Vehicle,1,1961704.38,2022-10-27T00:00:00.000+02:00,High-Performance Sports Coupe
35,89576,Electric Vehicle,8,72175.48,2022-06-17T00:00:00.000+02:00,Electric Commercial Van
36,63377,Service and Maintenance,2,2052786.88,2022-02-22T00:00:00.000+01:00,Oil Change and Lubrication Service
