Transaction_ID,Customer_ID,Product_Category,Quantity,Price,Date,Product_Name
376,94050,Parts and Accessories,10,1606217.41,2023-05-16T00:00:00.000+02:00,Vehicle Navigation Systems
377,9650,Standard Vehicle,2,2153624.67,2023-11-08T00:00:00.000+01:00,Compact Sedan
378,73327,Electric Vehicle,8,807517.84,2023-12-16T00:00:00.000+01:00,Electric Commercial Van
379,93714,Electric Vehicle,3,2587241.2,2023-05-10T00:00:00.000+02:00,Electric Commercial Van
380,32627,Financing and Insurance,3,490256.26,2023-07-23T00:00:00.000+02:00,New Vehicle Loan
381,14127,Special Offers,4,957265.33,2023-10-14T00:00:00.000+02:00,Trade-In Bonus Offer
382,24091,Standard Vehicle,1,2643484.72,2023-04-26T00:00:00.000+02:00,Station Wagon
383,72394,Special Offers,9,1027322.88,2023-03-22T00:00:00.000+01:00,Trade-In Bonus Offer
384,93937,Performance Vehicle,2,492753.62,2023-12-15T00:00:00.000+01:00,Luxury Performance Sedan
385,85601,Special Offers,10,261717.72,2023-05-16T00:00:00.000+02:00,Trade-In Bonus Offer
386,52355,Hybrid Vehicle,4,645468.69,2023-04-17T00:00:00.000+02:00,Hybrid Hatchback
387,96305,Hybrid Vehicle,9,1783636.66,2023-02-18T00:00:00.000+01:00,Midsize Hybrid SUV
388,35442,Performance Vehicle,6,1718182.16,2023-08-16T00:00:00.000+02:00,High-Performance Sports Coupe
389,94704,Standard Vehicle,1,2112943.57,2023-11-14T00:00:00.000+01:00,Full-Size Sedan
390,34100,Service and Maintenance,8,2170057.93,2023-03-27T00:00:00.000+02:00,Battery Check and Replacement
391,19067,Commercial Vehicle,4,1347893.78,2023-07-18T00:00:00.000+02:00,Chassis Cab
392,17491,Performance Vehicle,5,2946856.54,2023-04-11T00:00:00.000+02:00,Performance Electric Model
393,25291,Electric Vehicle,10,2143049.12,2023-06-06T00:00:00.000+02:00,Electric Sports Car
394,89985,Commercial Vehicle,1,1929034.82,2023-04-06T00:00:00.000+02:00,Chassis Cab
395,43685,Special Offers,5,2904855.02,2023-04-23T00:00:00.000+02:00,Exclusive Accessory Bundle Deal
396,2701,Service and Maintenance,7,1273348.48,2023-04-26T00:00:00.000+02:00,Tire Rotation and Alignment
397,39334,Performance Vehicle,7,2008900.31,2023-03-21T00:00:00.000+01:00,Performance Electric Model
398,54872,Parts and Accessories,9,1646431.44,2023-11-04T00:00:00.000+01:00,All-Weather Floor Mats
399,87778,Hybrid Vehicle,5,357702.58,2023-09-16T00:00:00.000+02:00,Hybrid Hatchback
400,29242,Electric Vehicle,6,400095.18,2023-06-22T00:00:00.000+02:00,Electric Commercial Van
401,834,Special Offers,10,2275977.31,2023-12-13T00:00:00.000+01:00,Trade-In Bonus Offer
402,93551,Standard Vehicle,5,969281.29,2023-08-18T00:00:00.000+02:00,Small Hatchback
403,51669,Parts and Accessories,3,1945409.02,2023-06-18T00:00:00.000+02:00,All-Weather Floor Mats
404,17055,Financing and Insurance,9,973851.64,2023-02-09T00:00:00.000+01:00,Used Vehicle Financing
405,2553,Service and Maintenance,9,2424524.74,2023-08-13T00:00:00.000+02:00,Battery Check and Replacement
406,28148,Service and Maintenance,8,2537569.47,2023-11-15T00:00:00.000+01:00,Battery Check and Replacement
407,6890,Performance Vehicle,10,1457617.93,2023-12-01T00:00:00.000+01:00,High-Speed Performance SUV
408,39213,Parts and Accessories,2,2238078.36,2023-08-18T00:00:00.000+02:00,All-Weather Floor Mats
409,74447,Electric Vehicle,6,987310.31,2023-11-20T00:00:00.000+01:00,Electric Commercial Van
410,20522,Special Offers,5,13356.6,2023-02-20T00:00:00.000+01:00,Seasonal Service Package Discount
411,5445,Performance Vehicle,2,2273546.1,2023-08-01T00:00:00.000+02:00,Luxury Performance Sedan
412,78735,Parts and Accessories,2,1174594.62,2023-04-02T00:00:00.000+02:00,Vehicle Navigation Systems
413,36711,Parts and Accessories,4,2516712.62,2023-06-21T00:00:00.000+02:00,Car Audio and Entertainment Systems
414,63521,Performance Vehicle,6,2463539.85,2023-05-20T00:00:00.000+02:00,Track-Focused Sports Car
