Transaction_ID,Customer_ID,Product_ID,Quantity,Price,Date,Time
869,97634,84038,4,553.28,2022-03-18,07:22:09
870,64853,43297,6,74.76,2022-03-31,11:26:15
871,99689,80789,4,947.16,2022-04-22,09:26:41
872,48851,62902,5,582.06,2023-02-19,22:15:59
873,61913,98942,1,482.07,2022-10-05,05:09:43
874,40151,64281,6,593.75,2023-08-23,13:28:17
875,22953,15651,9,923.53,2022-05-19,03:09:00
876,56256,89996,3,861.79,2023-04-10,07:50:24
877,40024,33971,6,665.92,2022-07-19,09:27:07
878,32360,64368,6,573.2,2023-07-23,10:56:13
879,86627,35235,4,101.87,2023-02-01,10:21:32
880,89201,69507,9,683.89,2022-07-25,20:32:38
881,8949,63611,7,404.26,2023-12-13,03:22:06
882,70379,66935,10,261.05,2022-09-19,07:31:55
883,80401,21561,5,228.57,2023-04-30,14:02:34
884,93602,73704,6,945.32,2022-03-03,08:05:43
885,69523,42309,6,518.3,2023-11-10,08:33:58
886,99751,27773,2,766.88,2023-03-29,07:00:29
887,14105,54463,5,75.69,2023-08-15,17:42:27
888,81958,40324,6,19.14,2023-07-09,01:28:12
889,88341,32371,6,538.0,2023-04-26,16:16:03
890,2489,16731,1,47.75,2023-05-04,17:09:17
891,68427,33995,5,218.54,2022-03-22,02:36:25
892,21382,59056,4,381.4,2023-05-03,06:22:17
893,21371,22117,3,374.65,2023-09-24,17:43:06
894,9796,44136,3,371.7,2023-05-10,02:38:15
895,87145,54957,4,869.23,2023-02-03,18:38:31
896,76539,40060,4,56.42,2023-09-13,13:08:32
897,54972,14094,6,801.42,2023-09-08,06:28:54
898,83315,80225,3,337.24,2022-06-13,05:04:49
899,67140,94104,1,807.51,2022-08-16,23:49:21
900,66926,69179,10,865.7,2021-12-29,01:12:19
901,91146,22753,8,239.27,2023-04-16,04:03:04
902,13388,14614,4,657.43,2022-03-24,07:19:08
903,37956,20686,9,160.35,2023-07-19,03:59:22
904,58845,25436,5,864.45,2023-10-20,08:23:28
905,74437,87398,9,453.53,2022-10-25,18:29:42
906,67994,17461,5,369.59,2023-11-02,18:56:59
907,80110,99203,6,529.88,2023-04-26,01:24:49
908,68955,43624,7,13.34,2023-09-26,21:34:58
909,92440,6546,7,467.83,2022-02-28,13:15:30
910,65803,80209,9,29.94,2022-08-18,17:20:38
911,11916,38061,1,27.74,2023-08-29,07:48:58
912,45932,69534,4,383.08,2022-09-14,11:57:06
913,60844,9728,7,957.02,2022-02-15,07:13:04
914,3824,5881,9,609.87,2022-12-03,01:17:48
915,26721,54271,5,324.87,2023-09-30,18:22:37
916,79494,19603,5,717.47,2022-10-29,09:29:24
917,81071,27652,5,12.23,2022-06-09,16:31:17
918,78559,26696,4,833.46,2023-06-04,08:36:21
919,81497,72637,5,606.07,2022-04-29,12:31:37
920,76223,2729,3,763.73,2023-09-10,05:43:19
921,43728,26008,8,374.71,2022-01-03,09:49:46
922,88541,11138,2,133.12,2023-03-28,20:15:51
923,91211,20138,9,314.17,2023-04-16,23:50:40
924,11799,15833,4,220.9,2022-03-13,23:10:53
925,40045,67768,8,375.39,2023-12-10,06:04:06
926,24295,17415,5,239.07,2023-06-20,05:21:11
927,61509,16050,8,90.73,2022-09-06,21:46:20
928,773,22806,5,338.25,2023-06-14,15:07:36
929,66182,49229,6,621.4,2022-12-17,16:04:12
930,76957,68360,1,77.43,2022-10-10,03:08:10
